Date,Amount,Category,Description
2025-01-02,450,Food,Grocery shopping
2025-01-03,120,Transport,Bus pass recharge
2025-01-05,900,Utilities,Electricity bill
2025-01-07,150,Entertainment,Movie ticket
2025-01-10,600,Food,Restaurant dinner
2025-01-12,250,Transport,Fuel refill
2025-01-15,1100,Utilities,Water bill
2025-01-17,300,Entertainment,Online subscription
2025-01-20,700,Food,Weekly groceries
2025-01-22,450,Transport,Tire puncture repair
2025-01-25,1300,Health,Doctor appointment
2025-01-27,500,Food,Snacks and drinks
2025-01-30,200,Entertainment,Game purchase
2025-02-02,800,Food,Restaurant lunch
2025-02-03,100,Transport,Auto fare
2025-02-06,950,Utilities,Internet bill
2025-02-07,400,Entertainment,Concert ticket
2025-02-11,300,Food,Weekly groceries
2025-02-13,250,Transport,Fuel refill
2025-02-17,1500,Health,Medicines
2025-02-21,500,Food,Bakery items
2025-02-23,600,Transport,Uber ride
2025-02-25,1200,Utilities,Gas bill
2025-02-28,350,Entertainment,Snacks & events
2025-03-03,700,Food,Grocery shopping
2025-03-05,300,Transport,Bus recharge
2025-03-10,1400,Utilities,Electricity bill
2025-03-12,250,Entertainment,Movie ticket
2025-03-15,500,Food,Restaurant dinner
2025-03-17,200,Transport,Fuel refill
2025-03-20,900,Health,Medical test
2025-03-22,400,Food,Weekly groceries
2025-03-25,150,Entertainment,Game add-on
2025-03-28,350,Transport,Taxi ride
